"City","State","Abbr","Latitude","Longitude"
"New York City","New York","NY",40.6642738,-73.9385004
"Los Angeles","California","CA",34.0193936,-118.4108248
"Chicago","Illinois","IL",41.8375511,-87.6818441
"Houston","Texas","TX",29.7804724,-95.3863425
"Philadelphia","Pennsylvania","PA",40.0093755,-75.1333459
"Phoenix","Arizona","AZ",33.5721625,-112.0879662
"San Antonio","Texas","TX",29.4724026,-98.5251419
"San Diego","California","CA",32.8152995,-117.134993
"Dallas","Texas","TX",32.794176,-96.7655033
"San Jose","California","CA",37.2968672,-121.8193058
"Austin","Texas","TX",30.3071816,-97.7559964
"Indianapolis","Indiana","IN",39.7779954,-86.1458378
"Jacksonville","Florida","FL",30.3370193,-81.6613021
"San Francisco","California","CA",37.759881,-122.437392
"Columbus","Ohio","OH",39.9847989,-82.9850438
"Fort Worth","Texas","TX",32.7795423,-97.3463354
"Charlotte","North Carolina","NC",35.2087069,-80.8307389
"Detroit","Michigan","MI",42.3830375,-83.1022365
"El Paso","Texas","TX",31.8483598,-106.426979
"Nashville","Tennessee","TN",36.1691287,-86.7847898
"Seattle","Washington","WA",47.6204993,-122.3508761
"Denver","Colorado","CO",39.7618487,-104.8806251
"Washington","District of Columbia","DC",38.9041485,-77.0170942
"Memphis","Tennessee","TN",35.1035431,-89.9784984
"Boston","Massachusetts","MA",42.33196,-71.0201725
"Baltimore","Maryland","MD",39.3002135,-76.6105159
"Oklahoma City","Oklahoma","OK",35.4670795,-97.5136565
"Portland","Oregon","OR",45.5369506,-122.649971
"Las Vegas","Nevada","NV",36.2277116,-115.2640448
"Milwaukee","Wisconsin","WI",43.0633484,-87.9666952
"Louisville","Kentucky","KY",38.22887,-85.749534
"Albuquerque","New Mexico","NM",35.1055517,-106.6473884
"Tucson","Arizona","AZ",32.1542888,-110.8710622
"Fresno","California","CA",36.7826736,-119.794492
"Sacramento","California","CA",38.5665924,-121.4686318
"Long Beach","California","CA",33.8091018,-118.1553273
"Kansas City","Missouri","MO",39.125212,-94.5511362
"Mesa","Arizona","AZ",33.4019259,-111.7173787
"Atlanta","Georgia","GA",33.7629088,-84.4226745
"Virginia Beach","Virginia","VA",36.7793219,-76.0240202
"Omaha","Nebraska","NE",41.2646751,-96.0419269
"Colorado Springs","Colorado","CO",38.8672553,-104.760749
"Raleigh","North Carolina","NC",35.8302035,-78.6414394
"Miami","Florida","FL",25.775163,-80.2086152
"Oakland","California","CA",37.7698573,-122.2256401
"Minneapolis","Minnesota","MN",44.9633235,-93.2682835
"Tulsa","Oklahoma","OK",36.1279488,-95.9023162
"Cleveland","Ohio","OH",41.4781381,-81.6794861
